origin,destination,Year,Month,Day,monthlyTransferMWh
AZPS,IID,2018,3,4513,3834
AZPS,IID,2018,4,1319,1075
AZPS,IID,2018,5,3613,3009
AZPS,IID,2018,6,654,475
AZPS,IID,2018,7,5312,6754
AZPS,IID,2018,8,1834,2956
AZPS,IID,2018,9,3010,1987
AZPS,IID,2018,10,3947,6653
AZPS,IID,2018,11,3697,2802
AZPS,IID,2018,12,6665,7577
AZPS,LDWP,2018,1,13335,629602
AZPS,LDWP,2018,2,9798,503545
AZPS,LDWP,2018,3,11904,537872
AZPS,LDWP,2018,4,11193,395149
AZPS,LDWP,2018,5,11020,358172
AZPS,LDWP,2018,6,11205,427835
AZPS,LDWP,2018,7,11904,636446
AZPS,LDWP,2018,8,11983,622418
AZPS,LDWP,2018,9,11160,591325
AZPS,LDWP,2018,10,11956,601775
AZPS,LDWP,2018,11,11160,637195
AZPS,LDWP,2018,12,11990,588470
AZPS,PACE,2018,1,101,352
AZPS,PACE,2018,2,1538,6950
AZPS,PACE,2018,3,4675,19230
AZPS,PACE,2018,4,3670,18046
AZPS,PACE,2018,5,498,4474
AZPS,PACE,2018,6,312,682
AZPS,PACE,2018,7,1245,3209
AZPS,PACE,2018,9,15,21
AZPS,PACE,2018,10,8,23
AZPS,PACE,2018,11,398,4905
AZPS,PACE,2018,12,615,2846
AZPS,PNM,2018,1,8402,131086
AZPS,PNM,2018,2,3372,29237
AZPS,PNM,2018,3,7883,53696
AZPS,PNM,2018,4,7214,65627
AZPS,PNM,2018,5,11763,210765
AZPS,PNM,2018,6,11097,286759
AZPS,PNM,2018,7,11892,304400
AZPS,PNM,2018,8,10532,190308
AZPS,PNM,2018,9,10886,197011
AZPS,PNM,2018,10,10385,150339
AZPS,PNM,2018,11,8026,116870
AZPS,PNM,2018,12,9327,99050
AZPS,SRP,2018,1,11959,827876
AZPS,SRP,2018,2,8206,421051
AZPS,SRP,2018,3,11666,590111
AZPS,SRP,2018,4,4507,122644
AZPS,SRP,2018,5,8120,139670
AZPS,SRP,2018,6,6098,158292
AZPS,SRP,2018,7,370,8569
AZPS,SRP,2018,8,1810,23674
AZPS,SRP,2018,9,706,3964
AZPS,SRP,2018,10,164,6577
AZPS,SRP,2018,11,365,6334
AZPS,SRP,2018,12,2205,22475
AZPS,TEPC,2018,1,23212,414986
AZPS,TEPC,2018,2,19465,381947
AZPS,TEPC,2018,3,23698,412846
AZPS,TEPC,2018,4,21108,469801
AZPS,TEPC,2018,5,23673,409184
AZPS,TEPC,2018,6,21136,572946
AZPS,TEPC,2018,7,22352,585475
AZPS,TEPC,2018,8,23774,703890
AZPS,TEPC,2018,9,22238,512636
AZPS,TEPC,2018,10,23784,421898
AZPS,TEPC,2018,11,22265,470410
AZPS,TEPC,2018,12,23790,527766
AZPS,WACM,2018,1,389,483
AZPS,WACM,2018,2,503,714
AZPS,WACM,2018,3,1239,6608
AZPS,WACM,2018,4,1079,2821
AZPS,WACM,2018,5,9821,29256
AZPS,WACM,2018,6,12302,57665
AZPS,WACM,2018,7,4123,19736
AZPS,WACM,2018,8,4,13
AZPS,WACM,2018,9,3885,7079
AZPS,WACM,2018,10,4009,40652
AZPS,WACM,2018,11,438,1640
AZPS,WALC,2018,1,11904,785340
AZPS,WALC,2018,2,9822,530444
AZPS,WALC,2018,3,11904,556706
AZPS,WALC,2018,4,11302,431070
AZPS,WALC,2018,5,11904,632643
AZPS,WALC,2018,6,11203,532529
AZPS,WALC,2018,7,14674,603302
AZPS,WALC,2018,8,11908,683271
AZPS,WALC,2018,9,15019,808935
AZPS,WALC,2018,10,15913,710818
AZPS,WALC,2018,11,11407,718557
AZPS,WALC,2018,12,12018,1113624
BANC,BPAT,2018,3,25,32
BANC,BPAT,2018,4,45,99
BANC,BPAT,2018,11,529,4647
BANC,BPAT,2018,12,351,5829
BANC,CISO,2018,1,23091,813397
BANC,CISO,2018,2,17892,844999
BANC,CISO,2018,3,17748,650825
BANC,CISO,2018,4,18113,469675
BANC,CISO,2018,5,23411,1017395
BANC,CISO,2018,6,20883,1053362
BANC,CISO,2018,7,17667,535130
BANC,CISO,2018,8,23194,646530
BANC,CISO,2018,9,19019,555392
BANC,CISO,2018,10,9455,85461
BANC,CISO,2018,11,9999,272086
BANC,CISO,2018,12,14391,346527
BANC,TIDC,2018,1,9049,106405
BANC,TIDC,2018,2,6531,48477
BANC,TIDC,2018,3,7764,61567
BANC,TIDC,2018,4,5897,42049
BANC,TIDC,2018,5,6261,49133
BANC,TIDC,2018,6,5738,48716
BANC,TIDC,2018,7,8846,103812
BANC,TIDC,2018,8,8673,132002
BANC,TIDC,2018,9,6176,46564
BANC,TIDC,2018,10,1050,3650
BANC,TIDC,2018,11,1421,9447
BANC,TIDC,2018,12,2995,8974
BCHA,BPAT,2018,1,4126,236978
BCHA,BPAT,2018,2,3513,133385
BCHA,BPAT,2018,3,3211,104646
BCHA,BPAT,2018,4,868,30714
BCHA,BPAT,2018,5,5012,165408
BCHA,BPAT,2018,6,5287,173135
BCHA,BPAT,2018,7,11625,746909
BCHA,BPAT,2018,8,6758,718773
BCHA,BPAT,2018,9,5413,183955
BCHA,BPAT,2018,10,6126,356587
BCHA,BPAT,2018,11,2473,68373
BCHA,BPAT,2018,12,3281,235440
BPAT,AVA,2018,1,22633,1112287
BPAT,AVA,2018,2,17431,1040219
BPAT,AVA,2018,3,23751,927324
BPAT,AVA,2018,4,18708,477174
BPAT,AVA,2018,5,22445,761226
BPAT,AVA,2018,6,19917,711252
BPAT,AVA,2018,7,23798,1185969
BPAT,AVA,2018,8,23808,1383605
BPAT,AVA,2018,9,22320,981376
BPAT,AVA,2018,10,20158,770215
BPAT,AVA,2018,11,21940,918093
BPAT,AVA,2018,12,23808,1081233
BPAT,AVRN,2018,7,31,1
BPAT,AVRN,2018,8,5847,1350
BPAT,AVRN,2018,9,4276,818
BPAT,AVRN,2018,10,8280,1935
BPAT,AVRN,2018,11,9611,2453
BPAT,AVRN,2018,12,7796,2286
BPAT,BANC,2018,1,11905,994291
BPAT,BANC,2018,2,9663,841996
BPAT,BANC,2018,3,11894,868084
BPAT,BANC,2018,4,11121,638124
BPAT,BANC,2018,5,11937,892672
BPAT,BANC,2018,6,11182,929923
BPAT,BANC,2018,7,12301,852895
BPAT,BANC,2018,8,11904,714153
BPAT,BANC,2018,9,11211,721383
BPAT,BANC,2018,10,17,15794
BPAT,BANC,2018,11,10739,443338
BPAT,BANC,2018,12,11700,437231
BPAT,BCHA,2018,1,7778,300874
BPAT,BCHA,2018,2,6231,532115
BPAT,BCHA,2018,3,8693,408334
BPAT,BCHA,2018,4,10263,763217
BPAT,BCHA,2018,5,6885,292471
BPAT,BCHA,2018,6,5873,266484
BPAT,BCHA,2018,7,279,22854
BPAT,BCHA,2018,8,5146,116144
BPAT,BCHA,2018,9,5719,268040
BPAT,BCHA,2018,10,5778,187937
BPAT,BCHA,2018,11,8675,607318
BPAT,BCHA,2018,12,8621,341117
BPAT,CHPD,2018,10,402,730
BPAT,CHPD,2018,11,55,78
BPAT,CHPD,2018,12,151,451
BPAT,CISO,2018,1,11904,1608834
BPAT,CISO,2018,2,9744,1485417
BPAT,CISO,2018,3,11904,1374611
BPAT,CISO,2018,4,11028,1207630
BPAT,CISO,2018,5,11904,1522812
BPAT,CISO,2018,6,11160,1736375
BPAT,CISO,2018,7,11904,1582854
BPAT,CISO,2018,8,11904,1306231
BPAT,CISO,2018,9,11160,1127575
BPAT,CISO,2018,10,11733,882401
BPAT,CISO,2018,11,10864,748423
BPAT,CISO,2018,12,11695,724845
BPAT,DOPD,2018,1,2,131
BPAT,DOPD,2018,7,108,106
BPAT,DOPD,2018,8,766,2586
BPAT,DOPD,2018,9,5663,26023
BPAT,DOPD,2018,10,4758,40762
BPAT,DOPD,2018,11,139,206
BPAT,DOPD,2018,12,4995,23480
BPAT,GCPD,2018,1,12,1716
BPAT,GCPD,2018,7,1807,10379
BPAT,GCPD,2018,8,3168,54513
